,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
56874,939833215830766090,https://www.airbnb.com/rooms/939833215830766090,36720880,100,t,Vaugirard,48.84293,2.29526,Entire home/apt,4,1.0,1.0,2.0,109.0,1,120,t,14,5.0,Fair,Paris 15ème
56883,940568984589309286,https://www.airbnb.com/rooms/940568984589309286,343452012,100,f,Élysée,48.870961963166685,2.302781202627393,Entire home/apt,10,2.5,3.0,5.0,619.0,1,365,t,3,5.0,Luxury,Paris 8ème
56897,939600498433160230,https://www.airbnb.com/rooms/939600498433160230,167347330,100,f,Ménilmontant,48.86807,2.40249,Entire home/apt,6,1.0,2.0,2.0,146.0,2,365,t,4,5.0,Fair,Paris 20ème
56905,940612127928821263,https://www.airbnb.com/rooms/940612127928821263,3987607,100,f,Reuilly,48.8478671419587,2.3729089453476666,Entire home/apt,5,2.5,3.0,3.0,650.0,3,30,t,2,5.0,Luxury,Paris 12ème
56929,940197351771105098,https://www.airbnb.com/rooms/940197351771105098,51567288,100,f,Élysée,48.87630850887496,2.298355627707571,Entire home/apt,2,1.0,0.0,1.0,144.0,1,365,t,11,5.0,Fair,Paris 8ème
56956,941844566269600645,https://www.airbnb.com/rooms/941844566269600645,13578719,100,f,Popincourt,48.86262285639837,2.3842177714493134,Entire home/apt,4,1.5,2.0,3.0,284.0,3,10,t,7,5.0,Premium,Paris 11ème
56976,941846212389396819,https://www.airbnb.com/rooms/941846212389396819,65537886,100,t,Passy,48.8541823,2.2805575,Entire home/apt,2,1.0,1.0,2.0,225.0,2,365,t,21,5.0,Fair,Paris 16ème
56985,941917916804856435,https://www.airbnb.com/rooms/941917916804856435,407970144,100,f,Passy,48.856690549566345,2.284840605357057,Entire home/apt,4,1.0,1.0,2.0,220.0,2,29,t,1,5.0,Fair,Paris 16ème
56994,940373402803157544,https://www.airbnb.com/rooms/940373402803157544,526651203,100,f,Louvre,48.86211,2.34185,Entire home/apt,4,1.0,1.0,2.0,224.0,1,1125,t,4,5.0,Fair,Paris 1er
56999,941948782415728338,https://www.airbnb.com/rooms/941948782415728338,39407166,100,f,Buttes-Chaumont,48.89478432760757,2.384377531999612,Entire home/apt,4,1.0,1.0,3.0,154.0,3,365,t,8,5.0,Fair,Paris 19ème
57009,941267917596856132,https://www.airbnb.com/rooms/941267917596856132,100144147,100,f,Reuilly,48.84019,2.3941,Entire home/apt,2,1.0,1.0,1.0,100.0,2,365,t,4,5.0,Fair,Paris 12ème
57022,941995195100576244,https://www.airbnb.com/rooms/941995195100576244,425502119,100,f,Buttes-Montmartre,48.888723008870464,2.3458377086106927,Entire home/apt,2,1.0,0.0,1.0,130.0,1,365,t,1,5.0,Fair,Paris 18ème
57027,942010585205851504,https://www.airbnb.com/rooms/942010585205851504,1450437,100,t,Ménilmontant,48.86290050334988,2.399977451229748,Private room,2,1.0,1.0,1.0,70.0,2,1125,t,50,5.0,Low-cost,Paris 20ème
57044,942647758442812078,https://www.airbnb.com/rooms/942647758442812078,3524539,100,f,Luxembourg,48.85374,2.33495,Entire home/apt,2,1.0,0.0,1.0,70.0,30,360,t,1,5.0,Low-cost,Paris 6ème
57082,943398394713785255,https://www.airbnb.com/rooms/943398394713785255,27143178,100,f,Buttes-Chaumont,48.891560039686944,2.3745444328870526,Entire home/apt,2,1.0,1.0,1.0,120.0,2,365,t,3,5.0,Fair,Paris 19ème
57089,942164304571647876,https://www.airbnb.com/rooms/942164304571647876,472726086,100,f,Élysée,48.87718,2.29981,Private room,2,1.0,0.0,1.0,116.0,2,365,t,2,5.0,Fair,Paris 8ème
