id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom,experience,airbnb_monument,dep,adresse,nomcom,insee,name,category
1.1832955480533207e+18,https://www.airbnb.com/rooms/1183295548053320722,584647790.0,100.0,f,Hôtel-de-Ville,48.85055965775706,2.3569869413436475,Entire home/apt,3.0,1.0,1.0,2.0,248.0,1.0,1125.0,t,2.0,5.0,Fair,Paris 4ème,Bohemian,airbnb,,,,,airbnb,
1.1832960642649933e+18,https://www.airbnb.com/rooms/1183296064264993386,146996034.0,100.0,t,Élysée,48.87341648123592,2.3268074295844468,Entire home/apt,6.0,2.5,2.0,3.0,378.0,1.0,1125.0,t,5.0,5.0,Premium,Paris 8ème,Luxury,airbnb,,,,,airbnb,
1.1833107853191434e+18,https://www.airbnb.com/rooms/1183310785319143390,448716922.0,100.0,f,Reuilly,48.8429835806606,2.3965985949883306,Entire home/apt,4.0,1.0,1.0,2.0,133.0,1.0,365.0,t,6.0,5.0,Fair,Paris 12ème,,airbnb,,,,,airbnb,
1.183147045280217e+18,https://www.airbnb.com/rooms/1183147045280217067,48489178.0,100.0,f,Panthéon,48.83892694148443,2.3474188523638,Entire home/apt,6.0,1.0,2.0,3.0,145.0,2.0,365.0,t,1.0,5.0,Fair,Paris 5ème,Cultural,airbnb,,,,,airbnb,
1.183851624581423e+18,https://www.airbnb.com/rooms/1183851624581423123,124818196.0,100.0,f,Gobelins,48.82289,2.37143,Private room,2.0,2.0,1.0,1.0,70.0,1.0,15.0,t,6.0,5.0,Low-cost,Paris 13ème,,airbnb,,,,,airbnb,
1.1838574980719452e+18,https://www.airbnb.com/rooms/1183857498071945126,550083088.0,100.0,t,Temple,48.86187,2.35537,Entire home/apt,10.0,3.0,3.0,5.0,406.0,3.0,45.0,t,7.0,5.0,Premium,Paris 3ème,,airbnb,,,,,airbnb,
1.1833291845793293e+18,https://www.airbnb.com/rooms/1183329184579329210,521890528.0,100.0,f,Ménilmontant,48.86992656237434,2.3969540781814884,Entire home/apt,2.0,1.0,1.0,1.0,116.0,3.0,365.0,t,4.0,5.0,Fair,Paris 20ème,,airbnb,,,,,airbnb,
1.1833451492657055e+18,https://www.airbnb.com/rooms/1183345149265705590,577881453.0,100.0,f,Vaugirard,48.84580987011573,2.312236572263094,Entire home/apt,2.0,1.0,1.0,1.0,146.0,1.0,365.0,t,4.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
1.183377486810486e+18,https://www.airbnb.com/rooms/1183377486810485927,237988895.0,100.0,f,Opéra,48.875028755736345,2.3403699151007467,Entire home/apt,4.0,1.0,2.0,2.0,650.0,1.0,15.0,t,1.0,5.0,Luxury,Paris 9ème,,airbnb,,,,,airbnb,
1.183875912926113e+18,https://www.airbnb.com/rooms/1183875912926113126,323249630.0,99.0,t,Louvre,48.8669717,2.3330859,Entire home/apt,2.0,1.0,1.0,1.0,316.0,2.0,365.0,t,2.0,5.0,Premium,Paris 1er,,airbnb,,,,,airbnb,
1.183163835381894e+18,https://www.airbnb.com/rooms/1183163835381893863,542873800.0,100.0,f,Élysée,48.87891,2.3249742,Entire home/apt,4.0,2.5,3.0,4.0,312.0,1.0,21.0,t,1.0,5.0,Premium,Paris 8ème,Luxury,airbnb,,,,,airbnb,
